blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
721.0151367,6.415016833E-005,721.0151367,-0.002339679981,
720.7654419,0.0001924789394,720.7654419,-0.0005150323268,
720.515686,0.0002163311292,720.515686,-0.002264234936,
720.2658691,-0.000305864407,720.2658691,-0.0007662213757,
720.0160522,0.0004397144949,720.0160522,-0.002127782907,
719.7662964,-2.950900125E-005,719.7662964,-0.002045447705,
719.5164795,0.0001500351063,719.5164795,-0.00114972936,
719.2666016,-0.0004974504118,719.2666016,-0.002286998555,
719.0167236,0.0003844473104,719.0167236,-0.001338053145,
718.7668457,-0.0006444446626,718.7668457,-0.002073169453,
718.5168457,-0.000325678644,718.5168457,-0.002359247068,
718.2669067,-8.877979417E-005,718.2669067,-0.002027257811,
718.0169678,-7.630512846E-005,718.0169678,-0.00177880819,
717.7669678,0.0002296433522,717.7669678,-0.0007858595927,
717.5169678,0.0005761635839,717.5169678,-0.0007975387271,
717.2669678,-4.167440784E-005,717.2669678,-0.001831963542,
717.0169067,-0.0003277997021,717.0169067,-0.000172987362,
716.7668457,-3.779334975E-006,716.7668457,-0.001606768812,
716.5167847,0.000152857654,716.5167847,-0.002261299407,
716.2666626,-0.0001219058031,716.2666626,-0.00111776602,
716.0164795,3.88289692E-007,716.0164795,-0.0007890636334,
715.7663574,0.000241168862,715.7663574,-0.002296474529,
715.5161743,-0.0002598173742,715.5161743,-0.0008762872894,
715.2659912,-0.0002500382252,715.2659912,-0.002354200929,
715.0157471,0.0001356118737,715.0157471,-0.001840109006,
714.765564,0.0006138533936,714.765564,-0.002303787274,
714.5153198,0.0002227023069,714.5153198,-0.0005319413613,
714.2650146,0.0001113239341,714.2650146,-0.0009197891923,
714.0147095,-0.0001288412313,714.0147095,-0.001004972146,
713.7643433,4.237739631E-005,713.7643433,-0.0006573165301,
713.5140381,4.046165486E-005,713.5140381,-0.001332220971,
713.2636719,-0.0003245405096,713.2636719,-0.001229188405,
713.0132446,-0.0005076893722,713.0132446,-0.0009167410899,
712.7628784,-0.0002737354953,712.7628784,-0.0005676188157,
712.5124512,-0.0003435262188,712.5124512,-0.0007249782211,
712.2620239,0.0001589171443,712.2620239,-0.0001757301652,
712.0115356,-0.0001969993027,712.0115356,-0.002006490482,
