blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
719.9885254,-0.000250969606,719.9885254,0.05000381917,719.9885254,0.0308005698,719.9885254,0.01147015579,719.9885254,0.009711629711,719.9885254,0.003102513263,
718.9894409,-9.742385737E-005,718.9894409,0.04998093098,718.9894409,0.02907843515,718.9894409,0.01222663466,718.9894409,0.00999960117,718.9894409,0.003653180553,
717.9898071,0.0001621022966,717.9898071,0.05145391822,717.9898071,0.03130856156,717.9898071,0.01201578882,717.9898071,0.01008471847,717.9898071,0.00371492235,
716.9898682,-9.474160834E-006,716.9898682,0.05078856274,716.9898682,0.0304454118,716.9898682,0.01230119076,716.9898682,0.01060319878,716.9898682,0.003583460581,
715.989624,0.0001742216264,715.989624,0.05199305713,715.989624,0.03086165339,715.989624,0.01269892696,715.989624,0.01156787015,715.989624,0.003672028426,
714.9890137,5.001456884E-005,714.9890137,0.05086832494,714.9890137,0.03048134223,714.9890137,0.01285672188,714.9890137,0.01168586966,714.9890137,0.003601470264,
713.9880981,0.0002493275388,713.9880981,0.05095666274,713.9880981,0.03219305724,713.9880981,0.01285450812,713.9880981,0.01077724341,713.9880981,0.003973994404,
712.9868164,-0.0004088575661,712.9868164,0.05167195201,712.9868164,0.03185545281,712.9868164,0.01195125841,712.9868164,0.01055450086,712.9868164,0.002980541438,
711.9852905,-0.0009092499386,711.9852905,0.05035537481,711.9852905,0.02969205752,711.9852905,0.01255560573,711.9852905,0.01076591201,711.9852905,0.002876948565,
710.9832764,-0.0007820354076,710.9832764,0.05093829334,710.9832764,0.03088777885,710.9832764,0.01162412763,710.9832764,0.01116559096,710.9832764,0.003536221338,
710.0167847,0.0002218217269,710.0167847,0.05320332944,710.0167847,0.03210090473,710.0167847,0.01315834001,710.0167847,0.01242191996,710.0167847,0.003254615236,
709.0142212,-0.0003309036547,709.0142212,0.05160145834,709.0142212,0.03124352172,709.0142212,0.01244128589,709.0142212,0.009997376241,709.0142212,0.003546660533,
708.0112915,0.0001511226874,708.0112915,0.05226333067,708.0112915,0.03122558072,708.0112915,0.0125767095,708.0112915,0.01044224389,708.0112915,0.003246347653,
707.0079956,3.927078797E-005,707.0079956,0.05104967207,707.0079956,0.03029644676,707.0079956,0.01366939209,707.0079956,0.01173131727,707.0079956,0.003917779308,
706.0043945,0.0004589417658,706.0043945,0.05245557055,706.0043945,0.03212877735,706.0043945,0.0141005246,706.0043945,0.01207899675,706.0043945,0.004569662269,
705.0004272,-0.0002493138309,705.0004272,0.05131834,705.0004272,0.03026649915,705.0004272,0.01262320951,705.0004272,0.01128919236,705.0004272,0.00293876254,
703.9962158,3.160791675E-005,703.9962158,0.05452065915,703.9962158,0.03080204315,703.9962158,0.01393781416,703.9962158,0.01021898445,703.9962158,0.003549583489,
702.9915771,-1.537599383E-005,702.9915771,0.05234564096,702.9915771,0.02899347059,702.9915771,0.01309678797,702.9915771,0.01359361224,702.9915771,0.003378359601,
701.9866943,-0.000267268013,701.9866943,0.0528248176,701.9866943,0.03235556185,701.9866943,0.01441082172,701.9866943,0.01138027571,701.9866943,0.003986299038,
701.0172729,0.0002832330647,701.0172729,0.05246097594,701.0172729,0.03127999231,701.0172729,0.01598946378,701.0172729,0.01324199699,701.0172729,0.003630548483,
700.0117188,0.0003505857021,700.0117188,0.05227676034,700.0117188,0.0322147198,700.0117188,0.01472886652,700.0117188,0.01252573729,700.0117188,0.003641746938,
699.0057373,5.979699836E-006,699.0057373,0.0537670888,699.0057373,0.03364263475,699.0057373,0.01334264688,699.0057373,0.01146590337,699.0057373,0.004209434614,
697.9995728,0.0002573827805,697.9995728,0.05556837097,697.9995728,0.03194044903,697.9995728,0.01439709496,697.9995728,0.01188216265,697.9995728,0.004046128597,
