SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
2022-03-07-00.2,['S1206'],I12,ctrl,J6,167.5
2022-03-07-00.2,['S1206'],I12,ctrl,J7,667.5
2022-03-07-00.2,['S1206'],I12,ctrl,J8,1500.0
2022-03-07-00.2,['S1221'],I13,ctrl,K22,167.5
2022-03-07-00.2,['S1221'],I13,ctrl,K23,667.5
2022-03-07-00.2,['S1221'],I13,ctrl,K24,1500.0
2022-03-07-00.2,['S1221'],I14,ctrl,K22,167.5
2022-03-07-00.2,['S1221'],I14,ctrl,K23,667.5
2022-03-07-00.2,['S1221'],I14,ctrl,K24,1500.0
2022-03-07-00.2,['S1231'],I15,ctrl,M14,167.5
2022-03-07-00.2,['S1231'],I15,ctrl,M15,667.5
2022-03-07-00.2,['S1231'],I15,ctrl,M16,1500.0
2022-03-07-00.2,['S1231'],I16,ctrl,M14,167.5
2022-03-07-00.2,['S1231'],I16,ctrl,M15,667.5
2022-03-07-00.2,['S1231'],I16,ctrl,M16,1500.0
2022-03-07-00.2,['S1251'],I17,ctrl,O6,167.5
2022-03-07-00.2,['S1251'],I17,ctrl,O7,667.5
2022-03-07-00.2,['S1251'],I17,ctrl,O8,1500.0
2022-03-07-00.2,['S1251'],I18,ctrl,O6,167.5
2022-03-07-00.2,['S1251'],I18,ctrl,O7,667.5
2022-03-07-00.2,['S1251'],I18,ctrl,O8,1500.0
2022-03-07-00.2,['S1261'],I19,ctrl,P22,167.5
2022-03-07-00.2,['S1261'],I19,ctrl,P23,667.5
2022-03-07-00.2,['S1261'],I19,ctrl,P24,1500.0
2022-03-07-00.2,['S1021'],I2,ctrl,A22,167.5
2022-03-07-00.2,['S1021'],I2,ctrl,A23,667.5
2022-03-07-00.2,['S1021'],I2,ctrl,A24,1500.0
2022-03-07-00.2,['S1261'],I20,ctrl,P22,167.5
2022-03-07-00.2,['S1261'],I20,ctrl,P23,667.5
2022-03-07-00.2,['S1261'],I20,ctrl,P24,1500.0
2022-03-07-00.2,['S1039'],I3,ctrl,C14,167.5
2022-03-07-00.2,['S1039'],I3,ctrl,C15,667.5
2022-03-07-00.2,['S1039'],I3,ctrl,C16,1500.0
2022-03-07-00.2,['S1039'],I4,ctrl,C14,167.5
2022-03-07-00.2,['S1039'],I4,ctrl,C15,667.5
2022-03-07-00.2,['S1039'],I4,ctrl,C16,1500.0
2022-03-07-00.2,['S1082'],I5,ctrl,E6,167.5
2022-03-07-00.2,['S1082'],I5,ctrl,E7,667.5
2022-03-07-00.2,['S1082'],I5,ctrl,E8,1500.0
2022-03-07-00.2,['S1082'],I6,ctrl,E6,167.5
2022-03-07-00.2,['S1082'],I6,ctrl,E7,667.5
2022-03-07-00.2,['S1082'],I6,ctrl,E8,1500.0
2022-03-07-00.2,['S1166'],I7,ctrl,F22,167.5
2022-03-07-00.2,['S1166'],I7,ctrl,F23,667.5
2022-03-07-00.2,['S1166'],I7,ctrl,F24,1500.0
2022-03-07-00.2,['S1166'],I8,ctrl,F22,167.5
2022-03-07-00.2,['S1166'],I8,ctrl,F23,667.5
2022-03-07-00.2,['S1166'],I8,ctrl,F24,1500.0
2022-03-07-00.2,['S1193'],I9,ctrl,H14,167.5
2022-03-07-00.2,['S1193'],I9,ctrl,H15,667.5
2022-03-07-00.2,['S1193'],I9,ctrl,H16,1500.0
2022-03-07-00.2,['S1023'],K1,ctrl,B3,167.5
2022-03-07-00.2,['S1023'],K1,ctrl,B4,667.5
2022-03-07-00.2,['S1023'],K1,ctrl,B5,1500.0
2022-03-07-00.2,['S1196'],K10,ctrl,H19,167.5
2022-03-07-00.2,['S1196'],K10,ctrl,H20,667.5
2022-03-07-00.2,['S1196'],K10,ctrl,H21,1500.0
2022-03-07-00.2,['S1208'],K11,ctrl,J11,167.5
2022-03-07-00.2,['S1208'],K11,ctrl,J12,667.5
2022-03-07-00.2,['S1208'],K11,ctrl,J13,1500.0
2022-03-07-00.2,['S1208'],K12,ctrl,J11,167.5
2022-03-07-00.2,['S1208'],K12,ctrl,J12,667.5
2022-03-07-00.2,['S1208'],K12,ctrl,J13,1500.0
2022-03-07-00.2,['S1222'],K13,ctrl,L3,167.5
2022-03-07-00.2,['S1222'],K13,ctrl,L4,667.5
2022-03-07-00.2,['S1222'],K13,ctrl,L5,1500.0
2022-03-07-00.2,['S1222'],K14,ctrl,L3,167.5
2022-03-07-00.2,['S1222'],K14,ctrl,L4,667.5
2022-03-07-00.2,['S1222'],K14,ctrl,L5,1500.0
2022-03-07-00.2,['S1233'],K15,ctrl,M19,167.5
2022-03-07-00.2,['S1233'],K15,ctrl,M20,667.5
2022-03-07-00.2,['S1233'],K15,ctrl,M21,1500.0
2022-03-07-00.2,['S1233'],K16,ctrl,M19,167.5
2022-03-07-00.2,['S1233'],K16,ctrl,M20,667.5
2022-03-07-00.2,['S1233'],K16,ctrl,M21,1500.0
2022-03-07-00.2,['S1252'],K17,ctrl,O11,167.5
2022-03-07-00.2,['S1252'],K17,ctrl,O12,667.5
